title,price,img_src,link,author,publisher,intro
생사의 게임,"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/178/16317815.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%8B%9C%EB%93%9C%EB%8B%88+%EC%85%80%EB%8D%98&frameFilterType=1&frameFilterValue=6000002307, 시드니 셀던,문지사,"전세계적으로 대히트한 ‘영화 깊은 밤 깊은 곳에’의 원작자이자,
1980년대 미국 뉴욕타임즈가 최고의 추리작가로 선정했던
시드니 셀던의 하드보일드 터치가 예리하게 빛나는 
짜릿한 살인추리 소설!"
실버로드,"13,050원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/253/16325317.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%8A%A4%ED%8B%B0%EB%82%98+%EC%95%BD%EC%86%90&frameFilterType=1&frameFilterValue=4666198, 스티나 약손,마음서재,"밤에도 지지 않는 태양, 숲의 심연에 고인 어둠…
거기 어딘가에 실종된 딸이 있다!
“날 찾아야지. 날 찾을 수 있는 사람은 아빠뿐이야.”춥고 어둡고 긴 겨울이 물러가고 백야가 시작되면 렐레는 낡은 볼보를 몰고 밤마다 실버 로드를 달린다. 스웨덴 동부 해안에서 노르웨이 국경으로 이어지는 95번 국도. 일명 실버 로드라 불리는 이 길은 3년 전 렐레의 열일곱 살 딸이 버스를 기다리다 감쪽같이 실종된 곳이다. 목격자도 단서도 없이 사건은 미궁에 빠지지만, 렐레는 결코 포기하지 않고 딸을 찾기 위해 집요한 수"
신 호모데우스전,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/263/16326344.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9D%B4%EC%83%81%EA%B6%8C&frameFilterType=1&frameFilterValue=5000013491, 이상권,특별한서재,"바이러스로 죽어가는 인간을 살리기 위해
동물은 실험대상이 되어야 하는가?인간의 그늘 아래 스러져간 수많은 생명을 위해-
생태 이야기꾼 이상권이 들려주는 ‘불편한 진실’
“결국, 인간은 가축의 지옥을 먹고사는 거야.”

특서 청소년문학 열세 번째 이야기. 『시간 전달자』, 『하늘로 날아간 집오리』, 『개 재판』, 『고양이가 기른 다람쥐』 등 자연과 동물, 그리고 환경을 노래해온 우리나라 최고의 생태이야기 작가 이상권이 이번에는 ‘불법동물실험’의 메시지를 던지는 청소년소설로 독자들을 찾"
이 세계에서 너와 두 번째 첫사랑을,"11,520원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/273/16327339.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EB%AA%A8%EC%B9%98%EC%A6%88%ED%82%A4+%EC%BF%A0%EB%9D%BC%EA%B2%8C+%EC%A0%80&frameFilterType=1&frameFilterValue=4666626, 모치즈키 쿠라게 저,북스토리,"가쿠요무 웹소설 특별상 수상작. 고등학생인 아사히는 중학교 졸업식 때 남자친구인 아라타에게서 일방적으로 이별을 통보받은 충격에서 헤어나지 못하고 있었다. 정말 좋아했었기 때문에 3년이 지난 지금도 아라타의 전화번호를 지우지 못하고 있는 아사히에게 어느 날, 아라타의 번호로 전화가 걸려온다. 뜻밖의 전화는 아사히에게 충격적인 사실을 말해준다. 충격을 받은 아사히에게 아라타의 어머니는 아라타의 일기장을 건네준다. 그리고 아사히는 왜 3년 전에 아라타가 갑작스럽게 자신에게 헤어지자고 말했는지를 알게 된다. 

아라타의 일기"
피할 수 없는 거짓말,"14,400원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/242/16324229.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%8B%B0%EB%82%98+%EC%98%AC%EC%86%90&frameFilterType=1&frameFilterValue=4444628, 크리스티나 올손,북레시피,"‘스칸디나비아 범죄소설의 여왕’ 크리스티나 올손의
〈마틴 베너 시리즈〉 2탄!
『파묻힌 거짓말』과 함께 유럽 서점가를 휩쓴 최고의 반전 스릴러“파묻힌 거짓말”을 읽는 건 참으로 고통스러웠어요. 다시 말해서 그 모든 일을 너무나 정확히 기억한다는 뜻이죠. 루시는 사무실에서 어떤 선크림을 사용할까 고르고 있었고 저는 비밀 데이트를 즐기는 중이었죠. 하지만 이 모든 바보 같은 짓은 텍사스를 다녀온 후 끝나버렸어요. 그리고 경고가 있었죠. 제가 지금 하려는 이야기는 훨씬 더 무겁고 훨씬 더 어두워요. 더는 ”파"
이상한 나라의 앨리스,"12,600원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/263/16326356.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EB%A3%A8%EC%9D%B4%EC%8A%A4+%EC%BA%90%EB%9F%B4&frameFilterType=1&frameFilterValue=6000000950, 루이스 캐럴,알에이치코리아(RHK),"일러스트레이터 퍼엉이 재해석한 판타지의 영원한 클래식 오랜 세월을 건너며 사람들의 삶 가운데 깊이 자리한 아름다운 고전들. 시대를 초월하여 사랑받아온 명작과 오늘을 대표하는 젊은 아티스트들의 감각이 하나로 만난 새로운 클래식 시리즈, 아트앤클래식Art & Classic의 첫 책이 출간되었다. 고전을 색다르게 만날 수 있도록 안내할 아트앤클래식은 1년여의 기획 기간을 거쳐 고전 작품을 선별하고, 그에 어울리는 일러스트레이터들과의 협업으로 완성되었다. 첫 책은 세"
지구 행성에서 너와 내가,"10,800원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/208/16320861.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EA%B9%80%EB%AF%BC%EA%B2%BD&frameFilterType=1&frameFilterValue=17858, 김민경,사계절,"“너는, 그날 나를 알아본 거야.”
지구라는 행성에서 누군가와 ‘마음의 밀월’을 나눠 본 적 있나요?지석이는 새봄이가 선물한 『모비딕』을 하루빨리 읽어야 한다. 이 책을 다 읽어야 새봄이가 제주도로 전학 가기 전까지 같이 시간을 보낼 수 있다. 새봄이는 엄마의 장례식 날짜가 세월호 참사와 겹쳐 힘든 시간을 보냈고, 4년 만에 돌아간 학교에서 우연히 『모비 딕』이라는 책을 접하고 삶에 대한 강한 애착을 느낀다. 엄마의 죽음과 사회적 죽음이 겹치면서 죽음에 대한 강박과 우울증을 오래 앓아온 새봄이는 세월호 참사처럼"
표정 없는 검사,"14,400원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/239/16323991.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EB%82%98%EC%B9%B4%EC%95%BC%EB%A7%88+%EC%8B%9C%EC%B9%98%EB%A6%AC&frameFilterType=1&frameFilterValue=2189131, 나카야마 시치리,블루홀식스(블루홀6),"반전의 제왕! 이야기의 달인! 제8회 〈이 미스터리가 대단해!〉 대상 수상 작가인 나카야마 시치리의 장편소설 『표정 없는 검사』가 블루홀식스에서 출간되었다. 『표정 없는 검사』는 ‘나카야마 시치리 월드’에 새롭게 등장하는 캐릭터인 포커페이스 검사와 검찰 사무원 콤비가 만들어 내는 검찰 미스터리 시리즈물이다. 그간 블루홀식스는 나카야마 시치리의 음악 미스터리 『안녕, 드뷔시』, 『잘 자요, 라흐마니노프』(미사키 요스케 시리즈), 『히포크라테스 선서』, 『히포크라테스 우울』(우라와 의대 법의학 교실 시리즈), 『테미스의 검』, 『네메시"
김의 나라,"13,500원(-10%)",https://bookthumb-phinf.pstatic.net/cover/163/248/16324886.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EC%9D%B4%EC%83%81%ED%9B%88&frameFilterType=1&frameFilterValue=5000022144, 이상훈,파람북,"고려의 《삼국사기》에 의해 왜곡되고
중국의 동북공정에 의해 가리워진 
신(新)-신라(新羅)-금(金)-청(靑)으로 이어지는
‘김의 나라’의 역사!이상훈 작가의 장편소설 《김의 나라》는 우리가 국사 수업 시간에 단 한 번도 배운 적 없는 신라의 마지막 태자 김일의 미스터리한 역사적 발자취를 파고든다. 고려 입장에서 편찬한 역사서 《삼국사기》는 그가 신라 패망 후 돌연 상복(마의)을 입고 금강산으로 들어가 홀연히 사라져버렸다고 서술할 뿐이다. 하지만 저자는 강원도 인제를 중심으로 신라부흥세력을 규합했던"
달 너머로 달리는 말,없음,https://bookthumb-phinf.pstatic.net/cover/163/231/16323144.jpg?type=m1&udate=Tue Apr 14 00:49:00 KST 2020,http://book.naver.com/search/search.nhn?query=%EA%B9%80%ED%9B%88&frameFilterType=1&frameFilterValue=5000006226, 김훈,파람북,"『칼의 노래』 『남한산성』의 작가 김훈의 첫 판타지 소설
한국 소설사에서 유례를 찾아보기 힘든 파격적 시도이자 문학적 도전
밀리 오리지널 종이책 정기구독 네 번째 책, 『달 너머로 달리는 말』
소설은 시원(始原)의 어느 지점에서 시작한다. 굳이 시대를 밝히자면 인간이 말[馬] 등에 처음 올라탄 무렵이지만, 그 시기를 인간의 역사에서 가늠하는 것은 무의미하다. 기록이 사실을 증명하지 못하는 역사 이전의 시대이며, 인간의 삶이 자연에서 분화하지 못하고 뒤엉켜 있는 상상의 공간이기 때문이다. 일찍이 접해본 적 없는 전폭적이고 독"
